Customer Abbreviation,Customer Po,Customer Po Line,Date Entered,Order No,Due Date Code,Part No,Description, Revised Due Date ,ESD,Qty Open,Unit Price,Total Value Open,Qty Resvered,Qty Picked,Qty Backordered
72869,180860-SERSS-Q2-23,1,"Wednesday, February 1, 2023",653870,S1,306745900,"GASKET,ROCKER LEVER COVER",45019,,12,16.05,192.6,0,0,0
72869,180860-SERSS-Q2-23,2,"Wednesday, February 1, 2023",653870,S1,307719800,"GASKET,ROCKER LEVER COVER",45019,45033,30,31.43,942.9,30,0,0
72869,181164-SUB1,1,"Friday, February 3, 2023",654124,MO,437178600,"KIT,PTS DST CENTER",44963,44977,45,12.68,570.6,45,45,0
72869,181375-Q1-TDM,1,"Tuesday, February 7, 2023",654429,S1,288176900,"TURBOCHARGER,HX83 WTRCOOL",45026,45033,3,5836.97,17510.91,0,0,0
72869,181375-Q1-TDM1,1,"Tuesday, February 7, 2023",654430,MO,433445700,"CRANKSHAFT,ENGINE",44970,44977,1,11309.13,11309.13,1,1,0
72869,181375-Q1-TDM1,2,"Tuesday, February 7, 2023",654430,MO,307039300,"SCREW,HEX FLANGE HEAD CAP",44970,44977,5,15.07,75.35,5,5,0
72869,181375-Q2-TDM,1,"Tuesday, February 7, 2023",654431,MO,307039300,"SCREW,HEX FLANGE HEAD CAP",44970,44977,6,15.07,90.42,6,6,0
72869,181388-WA-NTV,1,"Tuesday, February 7, 2023",654456,WA,559352400,"KIT,FUEL PUMP",44979,,4,519.35,2077.4,0,0,0
72869,181392-WA-NTV,2,"Tuesday, February 7, 2023",654499,WA,307149700PX,INJECTOR,44964,,1,238.5,238.5,0,0,0
72869,181506-IOF-BTD,1,"Wednesday, February 8, 2023",654655,S1,0511-0224,BELT-DRIVE,45026,45033,1,308.67,308.67,0,0,0
72869,181510-WA-DTHG,1,"Wednesday, February 8, 2023",654656,WA,0300-6014,CONTROL ASSY (DYNAM 2 DISPLAY),44965,,1,215.31,215.31,0,0,0
72869,181801-IOF-BTD,1,"Monday, February 13, 2023",655238,S1,0300-6090,CONTROL ASSY,45033,45040,1,193.75,193.75,0,0,0
72869,181859-IOF-HVM,1,"Tuesday, February 14, 2023",655391,S1,DR0716500RX,ENG QSC 8.3 T3 C 280-2100 HPCR,45033,45040,1,23000,23000,0,0,0
72869,181975-IOF-LTN,1,"Wednesday, February 15, 2023",655570,S1,490331900,INJECTOR,45033,45040,6,744.93,4469.58,0,0,0
,,,,,,,,,`,,,,,,
