Index,Part Code,SAP Code,Material Description,Part Type,Packaging,Final Code,Noted,Dup check,Final Part Type,10-12M,13-24M,25-36M,>36M,Old SAP code,Program,Part type Detail,IDN
1975,3095798,600084648,3095798-STUD,New parts,2,3095798,,1,Parts,,,,,,,New parts,
1976,3096077,600074969,"3096077-GASKET,FUEL PUMP",New parts,5,3096077,,1,Parts,,,,,,,New parts,
1977,3096078,600066392,"3096078- FILTER,FUEL",New parts,1,3096078,,1,Parts,,,,,,,New parts,
1978,3096260,600014715,"3096260- SEAL, RECTANGULAR RING",New parts,1,3096260,,1,Parts,,,,,,,New parts,
1979,3096326,600089304,"3096326-PUMP,LUBRICATING OIL",New parts,1,3096326,,1,Parts,,,,,,,New parts,
1980,3096326RX,600104119,3096326RX-Lubricating Oil Pump,Recon part,1,3096326RX,,1,Parts,,,,,,,Recon part,
1981,3096857,600000994,3096857-Valve shutoff,New parts,1,3096857,,1,Parts,,,,,,,New parts,
1982,3096859,600004173,"3096859-Valve, shutoff",New parts,1,3096859,,1,Parts,,,,,,,New parts,
1983,30969319724,600075193,30969319724- BOM DAU,New parts,,30969319724,,1,Parts,,,,,,,New parts,
1984,3098353,600092635,"3098353 - PUMP,FUEL",New parts,1,3098353,,1,Parts,,,,,,,New parts,
1985,3098353Z003,600074535,3098353Z003- BOM NHIEN LIEU,New parts,,3098353Z003,,1,Parts,,,,,,,New parts,
1986,3098354,600019040,3098354- SOLENOID,New parts,1,3098354,,1,Parts,,,,,,,New parts,
1987,3098597,600065432,3098597-CAMSHAFT,New parts,1,3098597,,1,Parts,,,,,,,New parts,
1988,3098693,600000995,"3098693-Control, Governor",New parts,1,3098693,,1,Parts,,,,,,,New parts,
1989,3098933,600104585,"3098933-CLAMP,T BOLT",New parts,1,3098933,,1,Parts,,,,,,,New parts,
1990,3098964,600086397,"3098964-PUMP, WATER",New parts,1,3098964,,1,Parts,,,,,,,New parts,
1991,3099083,600000997,3099083-Oil pan gasket,New parts,1,3099083,,1,Parts,,,,,,,New parts,
1992,3099190,600003872,"3099190 - SEAL , OIL",New parts,1,3099190,,1,Parts,,,,,,,New parts,
1993,3099408,600097638,"3099408 - Seal, O ring",New parts,1,3099408,,1,Parts,,,,,,,New parts,
1994,3099421,600000998,3099421-Seal Oil,New parts,1,3099421,,1,Parts,,,,,,,New parts,
1995,3099698,600101446,"3099698-UNION,MALE",New parts,1,3099698,,1,Parts,,,,,,,New parts,
1996,30PSI,600066826,30PSI- RADIATOR CAPS 30PSI,New parts,,30PSI,,1,Parts,,,,,,,New parts,
1997,3100141,600000999,3100141-Belt,New parts,1,3100141,,1,Parts,,,,,,,New parts,
1998,3100189,600004113,"3100189-Belt, V ribbeb",New parts,1,3100189,,1,Parts,,,,,,,New parts,
1999,3100363,600016728,3100363 - CAMSHAFT,New parts,1,3100363,,1,Parts,,,,,,,New parts,
2000,3100776,600016618,"3100776 - LEVER, ROCKER",New parts,,3100776,,1,Parts,,,,,,,New parts,
2001,3100895,600017565,"3100895 - ISOLATOR, NOISE",New parts,8,3100895,,1,Parts,,,,,,,New parts,
2002,3101314,600079069,"3101314 - BELT,V RIBBED",New parts,1,3101314,,1,Parts,,,,,,,New parts,
2003,3101569,600016333,"3101569 - GASKET, GEAR COVER",New parts,1,3101569,,1,Parts,,,,,,,New parts,
2004,3102173,600079108,"3102173 - GASKET,CONNECTION",New parts,1,3102173,,1,Parts,,,,,,,New parts,
2005,3102367,600082855,"3102367-RING,OIL PISTON",New parts,1,3102367,,1,Parts,,,,,,,New parts,
2006,3102651,600027119,"3102651-SCREW, HEX FLANGE HEAD",New parts,1,3102651,,1,Parts,,,,,,,New parts,
2007,3102654,600031154,3102654-INJECTOR,New parts,1,3102654,,1,Parts,,,,,,,New parts,
2008,3102738,600088443,3102738-Crank breather,New parts,1,3102738,,1,Parts,,,,,,,New parts,
2009,3103157,600066133,"3103157-RING,COMPRESSION PISTON",New parts,1,3103157,,1,Parts,,,,,,,New parts,
2010,3103158,600066134,"3103158-RING,COMPRESSION PISTON",New parts,1,3103158,,1,Parts,,,,,,,New parts,
2011,3103159,600066132,"3103159-RING,COMPRESSION PISTON",New parts,1,3103159,,1,Parts,,,,,,,New parts,
2012,3103233,600001005,3103233-Belt Ribed,New parts,1,3103233,,1,Parts,,,,,,,New parts,
2013,3103697,600086515,"3103697-BELT, V RIBBED",New parts,1,3103697,,1,Parts,,,,,,,New parts,
2014,3104027,600015537,"3104027 - TENSIONER, BELT",New parts,1,3104027,,1,Parts,,,,,,,New parts,
2015,3104028,600001008,Pulley Belt,New parts,1,3104028,,1,Parts,,,,,,,New parts,
2016,3104029,600004140,"3104029-Tensioner, Belt",New parts,1,3104029,,1,Parts,,,,,,,New parts,
2017,3104151,600082837,"3104151-Retainer, Valve Spring",New parts,1,3104151,,1,Parts,,,,,,,New parts,
2018,3104237,600084404,"3104237-MANIFOLD,EXHAUST",New parts,1,3104237,,1,Parts,,,,,,,New parts,
2019,3104324,600016690,3104324- COMPRESSOR,New parts,,3104324,,1,Parts,,,,,,,New parts,
2020,3104392,600070293,3104392-GIOANG LAM KIN,New parts,1,3104392,,1,Parts,,,,,,,New parts,
2021,3104445,600009988,"3104445 - INSERT, VALVE ISX/QSX",New parts,2,3104445,,1,Parts,,,,,,,New parts,
2022,3104450NX,600070080,3104450NX- NAP QUI LAT,Recon part,,3104450NX,Not yet purchased new part,1,Parts,,,,,,,Recon part,
2023,3104860,600009294,"3104860-BELT, V RIBBED",New parts,1,3104860,,1,Parts,,,,,,,New parts,
2024,3106099,600010419,"3106099 - BELT, V RIBBED",New parts,1,3106099,,1,Parts,,,,,,,New parts,
2025,3106192,600032637,3106192-BELT V RIBBED,New parts,1,3106192,,1,Parts,,,,,,,New parts,
2026,3161423,600001011,"3161423-Roller, cam follower",New parts,1,3161423,,1,Parts,,,,,,,New parts,
2027,3161475,600001012,"3161475-Lever, cam follower",New parts,1,3161475,,1,Parts,,,,,,,New parts,
2028,3161628,600085393,"3161628-TUBE,FUEL SUPPLY",New parts,1,3161628,,1,Parts,,,,,,,New parts,
2029,3161630,600085394,"3161630-TUBE,FUEL DRAIN",New parts,1,3161630,,1,Parts,,,,,,,New parts,
2030,3161742,600088655,"3161742 SEAL,OIL",New parts,1,3161742,,1,Parts,,,,,,,New parts,
2031,3162269,600001017,3162269-Fixture Injector,New parts,1,3162269,,1,Parts,,,,,,,New parts,
2032,3162895,600087972,"3162895-REMOVER,CAMSHAFT GEAR",New parts,1,3162895,,1,Parts,,,,,,,New parts,
2033,3163015,600087973,"3163015-KIT,CMS BUSHING REPLACER",New parts,1,3163015,,1,Parts,,,,,,,New parts,
2034,3163021,600001023,3163021-Timing pin & wedges kit,New parts,1,3163021,,1,Parts,,,,,,,New parts,
2035,3163041,600095482,"3163041 - INSTALLER,VALVE GUIDE",New parts,1,3163041,,1,Parts,,,,,,,New parts,
2036,3163064,600072771,"3163064-HARNESS, BENCH CALIBRATUON",New parts,1,3163064,,1,Parts,,,,,,,New parts,
2037,3163079,600074628,"3163079- FITTING,NEOPRENE/VITON",New parts,,3163079,,1,Parts,,,,,,,New parts,
2038,3163080,600074629,"3163080-FITTING,NORDEL",New parts,,3163080,,1,Parts,,,,,,,New parts,
2039,3163083,600074662,"3163083- PLUG,NORDEL REPLACEMENT",New parts,,3163083,,1,Parts,,,,,,,New parts,
2040,3163084,600074663,"3163084- PLUG,NEOPRENE REPLACEMENT",New parts,,3163084,,1,Parts,,,,,,,New parts,
2041,3163085,600074664,"3163085 - ADAPTER,90-DEGREE",New parts,,3163085,,1,Parts,,,,,,,New parts,
2042,3163096,600067417,"3163096-CABLE,ELECTRICAL",New parts,,3163096,,1,Parts,,,,,,,New parts,
2043,3163150,600087955,"3163150-KIT,BRAKE BREAKOUT CABLE",New parts,1,3163150,,1,Parts,,,,,,,New parts,
2044,3163151,600078971,3163151 - Harness wiring,New parts,1,3163151,,1,Parts,,,,,,,New parts,
2045,3163156,600001026,3163156-Cable data link,New parts,1,3163156,,1,Parts,,,,,,,New parts,
2046,3163162,600087956,3163162-CAPSCREW LENGTH GAUGE,New parts,1,3163162,,1,Parts,,,,,,,New parts,
2047,3163196,600001027,"3163196-Adapter, torch wrench",New parts,,3163196,Not yet purchased new part,1,Parts,,,,,,,New parts,
2048,3163270,600020470,"3163270-GAUGE, SIGHT",New parts,,3163270,,1,Parts,,,,,,,New parts,
2049,3163305,600072768,"3163305- CONTACT, INDICATOR",New parts,1,3163305,,1,Parts,,,,,,,New parts,
2050,3163349,600072795,"3163349-TOOL, CRS SEAL r&i",New parts,1,3163349,,1,Parts,,,,,,,New parts,
2051,3163381,600079258,"3163381 - REMOVE,GEAR",New parts,1,3163381,,1,Parts,,,,,,,New parts,
2052,3163400,600087974,"3163400-TOOL,BUSHING R&I",New parts,,3163400,,1,Parts,,,,,,,New parts,
2053,3163569,600087975,"3163569-GAUGE,BELT TENSION",New parts,1,3163569,,1,Parts,,,,,,,New parts,
2054,3163594,600072793,"3163594-TESTER, ELECTRICAL CIRCUIT",New parts,,3163594,,1,Parts,,,,,,,New parts,
2055,3163597,600067416,"3163597-CABLE,ELECTRICAL",New parts,,3163597,,1,Parts,,,,,,,New parts,
2056,3163606,600072767,"3163606-COMPRESSOR, VALVE SPRING",New parts,1,3163606,,1,Parts,,,,,,,New parts,
2057,3163649,600072773,"3163649-INSTALLER, CMS BORE INSERT",New parts,1,3163649,,1,Parts,,,,,,,New parts,
2058,3163745,600001033,"3163745-Remove, cylinder liner",New parts,1,3163745,,1,Parts,,,,,,,New parts,
2059,3163751,600072788,"3163751-PLATE, LINER REMOVER",New parts,1,3163751,,1,Parts,,,,,,,New parts,
2060,3163818,600043524,"3163818- Harness, Engine Control",New parts,1,3163818,,1,Parts,,,,,,,New parts,
2061,3163834,600003634,3163834-Fuel pump diagnostic tool,New parts,1,3163834,,1,Parts,,,,,,,New parts,
2062,3163890,600021040,"3163890-CONTROL, ENGINE",New parts,1,3163890,,1,Parts,,,,,,,New parts,
2063,3163891,600021041,"3163891-HARNESS, ENGINE CONTROL",New parts,1,3163891,,1,Parts,,,,,,,New parts,
2064,3163894,600043365,"3163894- HARNESS, ENGINE CONTROL",New parts,1,3163894,,1,Parts,,,,,,,New parts,
2065,3164001,600087957,"3164001-KIT,INJECTOR LEAK TEST",New parts,1,3164001,,1,Parts,,,,,,,New parts,
2066,3164025,600087939,"3164025-REMOVER,FUEL CONNECTOR",New parts,1,3164025,,1,Parts,,,,,,,New parts,
2067,3164036,600043367,"3164036- HARNESS, ENGINE CONTROL",New parts,1,3164036,,1,Parts,,,,,,,New parts,
2068,3164044,600043368,"3164044- ADAPTER, PRESSURE GAUGE",New parts,1,3164044,,1,Parts,,,,,,,New parts,
2069,3164067,600001036,3164067-Gasket White Form,New parts,12,3164067,,1,Parts,,,,,,,New parts,
2070,3164185,600078974,3164185 - Harness wiring,New parts,1,3164185,,1,Parts,,,,,,,New parts,
2071,3164205,600030888,"3164205-WRENCH, STC INJECTOR",New parts,,3164205,,1,Parts,,,,,,,New parts,
2072,3164210,600087976,"3164210-REMOVER,PISTON ASSEMBLY",New parts,1,3164210,,1,Parts,,,,,,,New parts,
2073,3164242,600016609,"3164242 - HARNESS, ENGINE COTROL",New parts,1,3164242,,1,Parts,,,,,,,New parts,
2074,3164251,600043523,"3164251- Harness, Engine Control",New parts,1,3164251,,1,Parts,,,,,,,New parts,
2075,3164302,600096205,"3164302 - REPLACER,CRANKSHAFT SEAL",New parts,1,3164302,,1,Parts,,,,,,,New parts,
2076,3164325,600016267,"3164325 - TESTER, FUEL SYSTEM LEA",New parts,1,3164325,,1,Parts,,,,,,,New parts,
2077,3164373,600072774,"3164373-INSTALLER, CROSSHEAD GUIDE",New parts,1,3164373,,1,Parts,,,,,,,New parts,
2078,3164430,600072776,"3164430- INSTALLER, VALVE STEM SEAL",New parts,,3164430,,1,Parts,,,,,,,New parts,
2079,3164438,600074513,"3164438- KIT,INDICATOR GAUGE",New parts,,3164438,,1,Parts,,,,,,,New parts,
2080,3164487,600079801,3164487 - THERMOMETER,New parts,1,3164487,,1,Parts,,,,,,,New parts,
2081,3164488,600001038,3164488-Multimeter digital,New parts,1,3164488,,1,Parts,,,,,,,New parts,
2082,3164490,600103822,"3164490-ADAPTER,CURRENT",New parts,1,3164490,,1,Parts,,,,,,,New parts,
2083,3164491,600103821,3164491-adapter for multimeter TOOL,New parts,1,3164491,,1,Parts,,,,,,,New parts,
2084,3164492,600103829,"3164492-PROBE,TEMPERATURE",New parts,1,3164492,,1,Parts,,,,,,,New parts,
2085,3164494,600103830,"3164494-PROBE,TEMPERATURE",New parts,1,3164494,,1,Parts,,,,,,,New parts,
2086,3164498,600103831,"3164498-PROBE,TEMPERATURE",New parts,1,3164498,,1,Parts,,,,,,,New parts,
2087,3164499,600103823,"3164499-ADAPTER,TEMPERATURE",New parts,1,3164499,,1,Parts,,,,,,,New parts,
2088,3164583,600043525,3164583- Fuel Line Cap,New parts,1,3164583,,1,Parts,,,,,,,New parts,
2089,3164594,600072789,"3164594- PLATE, VLV SPG COMPRESSOR",New parts,1,3164594,,1,Parts,,,,,,,New parts,
2090,3164617,600043526,3164617- Fuel Return Flow Hose,New parts,1,3164617,,1,Parts,,,,,,,New parts,
2091,3164618,600043369,"3164618- TESTER, FUEL SYSTEM LEA",New parts,1,3164618,,1,Parts,,,,,,,New parts,
2092,3164621,600043370,3164621- TESTER FUEL PUMP,New parts,,3164621,,1,Parts,,,,,,,New parts,
2093,3164653,600087940,3164653-Data Link Power Adapter Harness,New parts,1,3164653,,1,Parts,,,,,,,New parts,
2094,3164706,600030207,"3164706-REMOVER, INJECTOR",New parts,1,3164706,,1,Parts,,,,,,,New parts,
2095,3164721,600001040,3164721-Cable electrical,New parts,1,3164721,,1,Parts,,,,,,,New parts,
2096,3164752,600087977,"3164752-HARNESS,ELECTRICAL WIRING",New parts,1,3164752,,1,Parts,,,,,,,New parts,
2097,3164780,600001041,3164780-Liner seal install,New parts,1,3164780,,1,Parts,,,,,,,New parts,
2098,3164789,600097175,"3164789-CABLE,BENCH CALIBRATION",New parts,1,3164789,,1,Parts,,,,,,,New parts,
2099,3164794,600052311,3164794-WRENCH TORQUE,New parts,1,3164794,,1,Parts,,,,,,,New parts,
2100,3164795,600001042,3164795-Wrench Torque,New parts,1,3164795,,1,Parts,,,,,,,New parts,
2101,3164797,600001043,3164797-Torch Wrench,New parts,1,3164797,,1,Parts,,,,,,,New parts,
2102,3164799,600029813,"3164799-WRENCH, TORQUE",New parts,,3164799,,1,Parts,,,,,,,New parts,
2103,3164870,600020471,"3164870- INSTALLER, CYLINDER LIN",New parts,1,3164870,,1,Parts,,,,,,,New parts,
2104,3164943,600087958,"3164943-KIT,CYL HEAD LEAK TEST",New parts,1,3164943,,1,Parts,,,,,,,New parts,
2105,3165045,600087941,3165045-CMS BUSHING REPLACER KIT,New parts,1,3165045,,1,Parts,,,,,,,New parts,
2106,3165071,600087959,"3165071-GAUGE,INSPECTION",New parts,1,3165071,,1,Parts,,,,,,,New parts,
2107,3165074,600087960,3165074-OIL FILTER HEAD ADAPTER REMOVAL,New parts,1,3165074,,1,Parts,,,,,,,New parts,
2108,3165088,600087942,3165088-TAPPET REPLACER KIT,New parts,1,3165088,,1,Parts,,,,,,,New parts,
2109,3165093,600087943,3165093-GEAR REPLACER,New parts,1,3165093,,1,Parts,,,,,,,New parts,
2110,3165101,600087944,"3165101-REPLACER,AIR CPR ADAPTER",New parts,1,3165101,,1,Parts,,,,,,,New parts,
2111,3165112,600087945,3165112-CRS WEAR SLEEVE INSTALLER,New parts,1,3165112,,1,Parts,,,,,,,New parts,
2112,3165141,600016056,"3165141 - CABLE, WIRING",New parts,,3165141,,1,Parts,,,,,,,New parts,
2113,3165150,600072202,3165150- GIOANG LAM KIN,New parts,1,3165150,,1,Parts,,,,,,,New parts,
2114,3165160,600071814,3165160- DAY KET NOI,New parts,,3165160,,1,Parts,,,,,,,New parts,
2115,3165168,600087961,3165168-TURBO WASTEGATE ACTUATOR INDICAT,New parts,1,3165168,,1,Parts,,,,,,,New parts,
2116,3166287,600095386,"3166287 - GASKET,CYLINDER HEAD",New parts,1,3166287,,1,Parts,,,,,,,New parts,
2117,3166288,600001044,3166288-Gasket cylinder head,New parts,1,3166288,,1,Parts,,,,,,,New parts,
2118,3166388,600003666,3166388 - Pin cam follower,New parts,1,3166388,,1,Parts,,,,,,,New parts,
2119,3166418,600001046,"3166418-Lever, cam follower",New parts,1,3166418,,1,Parts,,,,,,,New parts,
2120,3166428,600003667,3166428 - Pin cam follower,New parts,4,3166428,,1,Parts,,,,,,,New parts,
2121,3166434,600078955,"3166434 - TUBE,FUEL SUPPLY",New parts,1,3166434,,1,Parts,,,,,,,New parts,
2122,3170134,600001047,"3170134-Seal,Valve",New parts,4,3170134,,1,Parts,,,,,,,New parts,
2123,3170965,600074448,3170965- GIOANG,New parts,1,3170965,,1,Parts,,,,,,,New parts,
2124,3171130,600072570,3171130- DAY CUROA,New parts,,3171130,,1,Parts,,,,,,,New parts,
2125,3171170,600045030,"3171170-gasket, connection",New parts,1,3171170,,1,Parts,,,,,,,New parts,
2126,3171287,600098707,"3171287-GASKET,CONNECTION",New parts,1,3171287,,1,Parts,,,,,,,New parts,
2127,3171368,600001049,3171368-Gasket Turbo,New parts,4,3171368,,1,Parts,,,,,,,New parts,
2128,3171499,600082410,"3171499 - GASKET,RKR LEVER HOUSING",New parts,1,3171499,,1,Parts,,,,,,,New parts,
2129,3171695,600045035,"3171695-gasket, connection",New parts,1,3171695,,1,Parts,,,,,,,New parts,
2130,3171883,600093009,"3171883 - ELBOW,MALE UNION",New parts,1,3171883,,1,Parts,,,,,,,New parts,
2131,3175452,600096947,3175452-Corrosion Resistor Head,New parts,1,3175452,,1,Parts,,,,,,,New parts,
2132,3175517,600097902,"3175517-GASKET,FLANGE",New parts,1,3175517,,1,Parts,,,,,,,New parts,
2133,3175805,600071555,3175805-BAC CAM,New parts,1,3175805,,1,Parts,,,,,,,New parts,
2134,3175856,600004265,"3175856-GASKET, HAND HOLE",New parts,10,3175856,,1,Parts,,,,,,,New parts,
2135,3175908,600001051,"3175908-Gasket, Exhaust manif",New parts,1,3175908,,1,Parts,,,,,,,New parts,
2136,3176133,600046239,"3176133-WASHER, PLAIN",New parts,1,3176133,,1,Parts,,,,,,,New parts,
2137,3176772,600001054,"3176772-Shaft, rocker lever",New parts,1,3176772,,1,Parts,,,,,,,New parts,
2138,3176773,600001055,"3176773-Shaft, rocker lever",New parts,1,3176773,,1,Parts,,,,,,,New parts,
2139,3177040,600093889,"3177040 - SHAFT,SHUTOFF VALVE",New parts,1,3177040,,1,Parts,,,,,,,New parts,
2140,3177082,600071081,3177082- ONG DAN,New parts,1,3177082,,1,Parts,,,,,,,New parts,
2141,3177128,600101795,"3177128-SLEEVE,WEAR",New parts,1,3177128,,1,Parts,,,,,,,New parts,
2142,3177129,600046219,"3177129-BEARING,THRUST",New parts,1,3177129,,1,Parts,,,,,,,New parts,
2143,3177300,600085400,"3177300-CONNECTION,ADAPTER",New parts,1,3177300,,1,Parts,,,,,,,New parts,
2144,3177556,600103806,3177556-SEAL-RECT RING(509-0283-01),New parts,1,3177556,,1,Parts,,,,,,,New parts,
2145,3177942,600001057,"3177942-Gasket, turbocharger",New parts,1,3177942,,1,Parts,,,,,,,New parts,
2146,3178457,600086700,"3178457-WASHER,PLAIN",New parts,1,3178457,,1,Parts,,,,,,,New parts,
2147,3178525,600092182,"3178525 - TUBE,FUEL SUPPLY",New parts,1,3178525,,1,Parts,,,,,,,New parts,
2148,3178743,600086299,"3178743-COVER,OIL PAN",New parts,1,3178743,,1,Parts,,,,,,,New parts,
2149,3179021,600003758,"3179021-Screw, banjo connector",New parts,1,3179021,,1,Parts,,,,,,,New parts,
2150,3179027,600001061,"3179027-GASKET,CONNECTION",New parts,1,3179027,,1,Parts,,,,,,,New parts,
2151,3179028,600004335,"3179028-GASKET, CONNECTION",New parts,4,3179028,,1,Parts,,,,,,,New parts,
2152,3179035,600001062,"3179035-Gasket, Wtr Trf conne",New parts,6,3179035,,1,Parts,,,,,,,New parts,
2153,3179664,600001063,"3179664-Valve, piston cooling",New parts,1,3179664,,1,Parts,,,,,,,New parts,
2154,3179745,600081782,"3179745 - BELT,V RIBBED",New parts,,3179745,,1,Parts,,,,,,,New parts,
2155,3179818,600103952,"3179818-CONNECTOR,TUBE",New parts,1,3179818,,1,Parts,,,,,,,New parts,
2156,3179979,600101448,"3179979-CONNECTION,EXHAUST OUTLET",New parts,1,3179979,,1,Parts,,,,,,,New parts,
2157,3200162,600095177,"3200162 - SPACER,MOUNTING",New parts,1,3200162,,1,Parts,,,,,,,New parts,
2158,3200220,600029814,"3200220-TUBE, FUEL SUPPLY",New parts,1,3200220,,1,Parts,,,,,,,New parts,
2159,3200287,600001065,3200287-Seal,New parts,10,3200287,,1,Parts,,,,,,,New parts,
2160,3200405,600029527,"3200405- TUBE, FUEL SUPPLY",New parts,1,3200405,,1,Parts,,,,,,,New parts,
2161,3200425,600029528,"3200425-TUBE, FUEL DRAIN",New parts,1,3200425,,1,Parts,,,,,,,New parts,
2162,3200772,600104118,3200772-Plain Washer,New parts,1,3200772,,1,Parts,,,,,,,New parts,
2163,3200943,600084252,"3200943-Shaft, Hyd Pump Drive",New parts,1,3200943,,1,Parts,,,,,,,New parts,
2164,3201115,600029529,"3201115-TUBE, FUEL SUPPLY",New parts,1,3201115,,1,Parts,,,,,,,New parts,
2165,3201188,600101797,"3201188-LINK,ADJUSTING",New parts,1,3201188,,1,Parts,,,,,,,New parts,
2166,3201251,600015277,"3201251 - TUBE, AIR FUEL CONTROL",New parts,1,3201251,,1,Parts,,,,,,,New parts,
2167,3201388,600052632,"3201388-GASKET, FLANGE",New parts,1,3201388,,1,Parts,,,,,,,New parts,
2168,3201562,600043690,3201562- SEAL ORING,New parts,1,3201562,,1,Parts,,,,,,,New parts,
2169,3201585,600084857,3201585-SEAL O RING,New parts,6,3201585,,1,Parts,,,,,,,New parts,
2170,3201659,600085699,"3201659-SEAL,RECTANGULAR RING",New parts,10,3201659,,1,Parts,,,,,,,New parts,
2171,3201737,600030208,"3201737-TUBE, FUEL DRAIN",New parts,1,3201737,,1,Parts,,,,,,,New parts,
2172,3202114,600074927,3202114- TRUC TRUNG GIAN,New parts,1,3202114,,1,Parts,,,,,,,New parts,
2173,3202117,600044645,"3202117-GASKET, CONNECTION",New parts,1,3202117,,1,Parts,,,,,,,New parts,
2174,3202155,600077707,"3202155-MANIFOLD,AIR INTAKE",New parts,1,3202155,,1,Parts,,,,,,,New parts,
2175,3202172,600077731,"3202172-SCREW,HEXAGON HEAD CAP",New parts,1,3202172,,1,Parts,,,,,,,New parts,
2176,3202179,600032949,3202179-SEAL O RING,New parts,1,3202179,,1,Parts,,,,,,,New parts,
2177,3202198,600094211,"3202198 - Housing, Rocker Lever",New parts,1,3202198,,1,Parts,,,,,,,New parts,
2178,3202210,600001068,"3202210-Guide, valve Stem",New parts,24,3202210,,1,Parts,,,,,,,New parts,
2179,3202283,600001069,3202283-Gasket water pump,New parts,5,3202283,,1,Parts,,,,,,,New parts,
2180,3211786,600104026,3211786,Local,,3211786,CIVIL DEFENSE,1,Parts,,,,,,,Local,
2181,0323-1540,600097611,323-1540 - CONNECTOR - SOCKET FOR SENDER,New parts,1,0323-1540,,1,Parts,,,,,,,New parts,
2182,3239599,600079239,"3239599 - VALVE,SOLENOID",New parts,1,3239599,,1,Parts,,,,,,,New parts,
2183,3250934,600096331,"3250934-CLAMP,U BOLT",New parts,1,3250934,,1,Parts,,,,,,,New parts,
2184,3251034,600031738,3251034-BELT V RIBBED,New parts,1,3251034,,1,Parts,,,,,,,New parts,
2185,3251188,600093348,3251188 - FLY WHEEL,New parts,1,3251188,,1,Parts,,,,,,,New parts,
2186,3254057,600052071,3254057-V BELT RIBBED,New parts,,3254057,,1,Parts,,,,,,,New parts,
2187,3265218,600094752,3265218 - CAMSHAFT,New parts,1,3265218,,1,Parts,,,,,,,New parts,
2188,3275354,600083237,"3275354-COLLET,HALF VALVE",New parts,32,3275354,,1,Parts,,,,,,,New parts,
2189,3275538PO,600003620,3275538PO - PT Type D (Val Valve),Recon part,,3275538PO,,1,Parts,,,,,,,Recon part,
2190,3278137,600094761,"3278137 - PUMP,SEA WATER",New parts,1,3278137,,1,Parts,,,,,,,New parts,
2191,3278480,600046240,"3278480-SCREW, HEX FLANGE HEAD",New parts,1,3278480,,1,Parts,,,,,,,New parts,
2192,3279720,600001089,"3279720-Cup, injector",New parts,1,3279720,,1,Parts,,,,,,,New parts,
2193,3279747,600033162,3279747-Cup Injector,New parts,6,3279747,,1,Parts,,,,,,,New parts,
2194,3279776,600001090,"3279776-Cup, injector",New parts,,3279776,,1,Parts,,,,,,,New parts,
2195,3279805,600004394,"3279805-LINK,INJECTOR PLUNGER",New parts,1,3279805,,1,Parts,,,,,,,New parts,
2196,3279810,600079758,"3279810 - CUP,INJECTOR STEPPED",New parts,6,3279810,,1,Parts,,,,,,,New parts,
2197,3279821,600044654,"3279821-SCREW, INJECTOR STOP",New parts,1,3279821,,1,Parts,,,,,,,New parts,
2198,3279850,600001091,"3279850-Nut, Tappet",New parts,1,3279850,,1,Parts,,,,,,,New parts,
2199,3281921,600070471,3281921-ONG NHIEN LIEU,New parts,1,3281921,,1,Parts,,,,,,,New parts,
2200,3282141,600104110,"3282141 - SCREW,BANJO CONNECTOR",New parts,1,3282141,,1,Parts,,,,,,,New parts,
2201,3282158,600086741,"3282158-HOSE,FLEXIBLE",New parts,1,3282158,,1,Parts,,,,,,,New parts,
2202,3282159,600030900,"3282159-HOSE, FLEXIBLE",New parts,1,3282159,,1,Parts,,,,,,,New parts,
2203,3282167,600052066,"3282167-HOSE, FLEXIBLE",New parts,1,3282167,,1,Parts,,,,,,,New parts,
2204,3282266,600091277,"3282266-PLUG,THREADED",New parts,1,3282266,,1,Parts,,,,,,,New parts,
2205,3282372,600104859,3282372-STUD,New parts,2,3282372,,1,Parts,,,,,,,New parts,
2206,3282433,600104850,"3282433-SCREW,HEX FLANGE HEAD CAP",New parts,1,3282433,,1,Parts,,,,,,,New parts,
2207,3283160,600088020,3283160-INJECTOR,New parts,1,3283160,,1,Parts,,,,,,,New parts,
2208,3283179,600030325,3283179-CAMSHAFT,New parts,1,3283179,,1,Parts,,,,,,,New parts,
2209,3283325,600015430,"3283325 - TRE, SUP",New parts,1,3283325,,1,Parts,,,,,,,New parts,
2210,3283333,600001098,3283333-Gasket cylinder head,New parts,1,3283333,,1,Parts,,,,,,,New parts,
2211,3283335,600001099,"3283335-Gasket, cylinder",New parts,1,3283335,,1,Parts,,,,,,,New parts,
2212,3283339,600096095,"3283339 - GASKET,CYLINDER HEAD",New parts,1,3283339,,1,Parts,,,,,,,New parts,
2213,3283456,600052707,3283456-HOSE PLAIN,New parts,1,3283456,,1,Parts,,,,,,,New parts,
2214,3283459,600009989,3283459 - ACTUATOR ERT FUEL,New parts,1,3283459,,1,Parts,,,,,,,New parts,
2215,3283462,600081947,"3283462 - ACTUATOR,ETR FUEL CONTROL",New parts,1,3283462,,1,Parts,,,,,,,New parts,
2216,3283463,600068005,"3283463-CONTROL, GOVERNOR",New parts,1,3283463,,1,Parts,,,,,,,New parts,
2217,3283467,600083236,"3283467-CONTROL,GOVERNOR",New parts,1,3283467,,1,Parts,,,,,,,New parts,
2218,3283469,600030003,"3283469 - CONTROL, GOVERNOR",New parts,1,3283469,,1,Parts,,,,,,,New parts,
2219,3283752,600044678,3283752-PUMP HAND,New parts,1,3283752,,1,Parts,,,,,,,New parts,
