Index,Part Code,SAP Code,Material Description,Part Type,Packaging,Final Code,Noted,Dup check,Final Part Type,10-12M,13-24M,25-36M,>36M,Old SAP code,Program,Part type Detail,IDN
51,0130-4434,600098673,0130-4434-PENCIL-ZINC (TEXT),New parts,1,0130-4434,,1,Parts,,,,,,,New parts,
52,0130-4961,600032483,130-4961-PENCIL ZINC (TEXT),New parts,1,0130-4961,,1,Parts,,,,,,,New parts,
53,0130-5008,600073558,0130-5008- HOSE KIT-HEAT EXCH,New parts,1,0130-5008,,1,Parts,,,,,,,New parts,
54,0130-5325,600074055,130-5325-CAP- RAD PRESSURE,New parts,1,0130-5325,,1,Parts,,,,,,,New parts,
55,0130-5339,600091423,0130-5339 -COOLER-FUEL,New parts,1,0130-5339,,1,Parts,,,,,,,New parts,
56,0130-5354,600096778,0130-5354-HOSE (4-INCH),New parts,1,0130-5354,,1,Parts,,,,,,,New parts,
57,0130-5356,600083707,"0130-5356-""HOSE 5-INCH""",New parts,1,0130-5356,,1,Parts,,,,,,,New parts,
58,0130-5387-01,600031071,130-5387-01-TUBE LOW PRESSURE,New parts,1,0130-5387-01,,1,Parts,,,,,,,New parts,
59,0130-5466,600071152,130-5466- CANH QUAT,New parts,1,0130-5466,,1,Parts,,,,,,,New parts,
60,0130-5555,600096800,0130-5555-TUBE-RADIATOR VENT (JW),New parts,1,0130-5555,,1,Parts,,,,,,,New parts,
61,0130-5556,600096801,0130-5556-TUBE-RADIATOR VENT (LTA),New parts,1,0130-5556,,1,Parts,,,,,,,New parts,
62,0130-5718,600045187,130-5718-CORE-RADIATOR,New parts,,0130-5718,,1,Parts,,,,,,,New parts,
63,0130-5720,600095307,0130-5720 - TUBE RADIATOR,New parts,1,0130-5720,,1,Parts,,,,,,,New parts,
64,0130-5899,600089652,0130-5899-GASKET-RADIATOR (OUTLET LTA),New parts,1,0130-5899,,1,Parts,,,,,,,New parts,
65,0130-5900,600074529,130-5900- GIOANG,New parts,1,0130-5900,,1,Parts,,,,,,,New parts,
66,0130-6297,600065433,130-6297-RADIATOR NT (A) G DRIVE,New parts,1,0130-6297,,1,Parts,,,,,,,New parts,
67,0130-6299,600030718,130-6299 RADIATOR,New parts,,0130-6299,,1,Parts,,,,,,,New parts,
68,0130-6311,600070887,130-6311-SINH HAN,New parts,1,0130-6311,,1,Parts,,,,,,,New parts,
69,0130-6390,600095707,0130-6390 - TUBE-WATER,New parts,1,0130-6390,,1,Parts,,,,,,,New parts,
70,0130-6392,600081155,0130-6392-CAP-PRESSURE,New parts,1,0130-6392,,1,Parts,,,,,,,New parts,
71,0130-6401,600088096,130-6401-TUBE-WATER,New parts,1,0130-6401,,1,Parts,,,,,,,New parts,
72,0130-6411,600095979,0130-6411 - TUBE AIR,New parts,1,0130-6411,,1,Parts,,,,,,,New parts,
73,0130-6413,600071554,130-6413-ONG,New parts,1,0130-6413,,1,Parts,,,,,,,New parts,
74,0130-6522,600070192,130-6522- GIOANG,New parts,1,0130-6522,,1,Parts,,,,,,,New parts,
75,0130-6546,600081365,0130-6546 - RADIATOR KTA50 50/55 DEG,New parts,1,0130-6546,,1,Parts,,,,,,,New parts,
76,0130-6555,600085194,0130-6555-CAP-PRESSURE,New parts,1,0130-6555,,1,Parts,,,,,,,New parts,
77,0130-6600,600092601,0130-6600 - CAP-PRESSURE,New parts,1,0130-6600,,1,Parts,,,,,,,New parts,
78,0130-6735,600080656,0130-6735-RADIATOR (CAP 0130-7110),New parts,,0130-6735,,1,Parts,,,,,,,New parts,
79,0130-6774,600087068,0130-6774-FAN-RADIATOR,New parts,1,0130-6774,,1,Parts,,,,,,,New parts,
80,0130-7029,600044656,130-7029-RADIATOR CORE,New parts,1,0130-7029,,1,Parts,,,,,,,New parts,
81,0130-7030,600086695,0130-7030-SEAL-RADIATOR,New parts,1,0130-7030,,1,Parts,,,,,,,New parts,
82,0130-7161,600045054,130-7161-RADIATOR CORE,New parts,1,0130-7161,,1,Parts,,,,,,,New parts,
83,0130-7170,600071553,130-7170-ONG,New parts,1,0130-7170,,1,Parts,,,,,,,New parts,
84,0130-7787,600026843,130-7787-THERMOSTAT (AX1006000),New parts,1,0130-7787,,1,Parts,,,,,,,New parts,
85,0130-7832-02,600033190,"130-7832-02-BRACKET, RADIATER",New parts,1,0130-7832-02,,1,Parts,,,,,,,New parts,
86,0130-7905,600080407,0130-7905 - RADIATOR ( Assembly with Fan,New parts,1,0130-7905,,1,Parts,,,,,,,New parts,
87,0130-8209,600080408,0130-8209 - CORE RADIATOR (TEXT),New parts,1,0130-8209,,1,Parts,,,,,,,New parts,
88,0130-8362,600080409,0130-8362 - FAN-RADIATOR,New parts,1,0130-8362,,1,Parts,,,,,,,New parts,
89,0130-8401,600080410,0130-8401 - FAN-RADIATOR,New parts,1,0130-8401,,1,Parts,,,,,,,New parts,
90,0130-8415,600027425,130-8415-THERMOSTAT,New parts,1,0130-8415,,1,Parts,,,,,,,New parts,
91,0130-8454,600080581,0130-8454-Radiator,New parts,1,0130-8454,,1,Parts,,,,,,,New parts,
92,0130-8457,600081267,0130-8457 - PRESSURE CAP,New parts,1,0130-8457,,1,Parts,,,,,,,New parts,
93,0132-0162,600102369,0132-0162 - Impeller,New parts,1,0132-0162,,1,Parts,,,,,,,New parts,
94,0132-0330,600070098,132-0330- BO RUOT BOM NUOC,New parts,,0132-0330,,1,Parts,,,,,,,New parts,
95,0132-0434,600072209,132-0434- GIOANG,New parts,1,0132-0434,,1,Parts,,,,,,,New parts,
96,0132-0436,600087652,"0132-0436-KIT, SW PUMP IMPELLER REPAIR",New parts,1,0132-0436,,1,Parts,,,,,,,New parts,
97,0132-0501,600080411,0132-0501 - WATER PUMP ASSEMBLY(AX100488,New parts,1,0132-0501,,1,Parts,,,,,,,New parts,
98,0132-0504,600080412,0132-0504 - PUMP-WATER,New parts,1,0132-0504,,1,Parts,,,,,,,New parts,
99,0132-0528,600080413,0132-0528 - PUMP-WATER,New parts,1,0132-0528,,1,Parts,,,,,,,New parts,
100,0134-5373,600029580,134-5373 - COVER-CYLINDER,New parts,1,0134-5373,,1,Parts,,,,,,,New parts,
101,0140-1548,600014109,140-1548 -INDICATOR-SVC,New parts,1,0140-1548,,1,Parts,,,,,,,New parts,
102,0140-2008,600044367,140-2008 INDICATOR-SVC,New parts,1,0140-2008,,1,Parts,,,,,,,New parts,
103,0140-2391,600083147,140-2391-ELEMENT-AIR CLNR,New parts,1,0140-2391,,1,Parts,,,,,,,New parts,
104,0140-3351,600092992,0140-3351 - ELEMENT-AIR CLNR,New parts,1,0140-3351,,1,Parts,,,,,,,New parts,
105,0140-4088,600080414,0140-4088 - AIR FILTER ELEMENT (4071693),New parts,1,0140-4088,,1,Parts,,,,,,,New parts,
106,0140-4157,600080415,0140-4157 - AIR CLEANER,New parts,1,0140-4157,,1,Parts,,,,,,,New parts,
107,0147-0997,600081268,0147-0997 - PUMP-INJECTION,New parts,1,0147-0997,,1,Parts,,,,,,,New parts,
108,0147-1000,600080416,0147-1000 - INJECTOR-FUEL,New parts,1,0147-1000,,1,Parts,,,,,,,New parts,
109,0147-1003,600080417,0147-1003 - INJECTOR ASSEMBLY ( BOSCH ),New parts,1,0147-1003,,1,Parts,,,,,,,New parts,
110,0147-1010,600095703,0147-1010 - PUMP-INJECTION,New parts,,0147-1010,,1,Parts,,,,,,,New parts,
111,0149-1914-01,600095537,0149-1914-01 - ELEMENT-FILTER,New parts,1,0149-1914-01,,1,Parts,,,,,,,New parts,
112,0149-1914-05,600080011,0149-1914-05 - ELEMENT-FUEL FILTER,New parts,1,0149-1914-05,,1,Parts,,,,,,,New parts,
113,0149-2508,600010485,149-2508 - SOLENOID - STOP ( 12V),New parts,1,0149-2508,,1,Parts,,,,,,,New parts,
114,0149-2508-01,600010486,149-2508-01 - SOLENOID - STOP ( 24V),New parts,,0149-2508-01,,1,Parts,,,,,,,New parts,
115,0149-2513,600092991,0149-2513 - FILTER-FUEL,New parts,1,0149-2513,,1,Parts,,,,,,,New parts,
