Lot,No,Date,From plant,To plant,Status,STO,SAP,Part code,Qty,weight/pce,Est weight,L,W,H
56,25,44771,VN49,VNT0,Recorded on SAP,8150299790,600069620,3331821,1,,0.011,81.3,25.4,
56,26,44771,VN49,VNT0,Recorded on SAP,8150299790,600093888,8306,1,,0.01,10,13,
56,27,44771,VN49,VNT0,Recorded on SAP,8150299790,600094506,3643997,1,,0.04,5,3,
56,28,44771,VN49,VNT0,Recorded on SAP,8150299790,600002225,70415,24,,1.728,10,13,
56,29,44771,VN49,VNT0,Recorded on SAP,8150299790,600031742,145528,50,,0.5,3,3,
56,30,44771,VN49,VNT0,Recorded on SAP,8150299790,600002156,4089478,1,,2.412,100,38,
56,31,44771,VN49,VNT0,Recorded on SAP,8150299790,600074288,4955697,2,,22,20,20,
56,32,44771,VN49,VNT0,Recorded on SAP,8150299790,600074288,4955697,2,,22,20,20,
56,33,44771,VN49,VNT0,Recorded on SAP,8150299790,600043694,4089644,6,,1.8,21,19,
57,1,44771,VN49,VNT0,Recorded on SAP,8150300024,600096270,5405392,2,,0.28,15,15,
57,2,44771,VN49,VNT0,Recorded on SAP,8150300024,600021207,0302-2058-16,1,,0.85,16,15,
57,3,44771,VN49,VNT0,Recorded on SAP,8150300024,600000528,0300-4080-02,1,,0.27,32,21,
57,4,44771,VN49,VNT0,Recorded on SAP,8150300024,600010053,4025027,1,,25.43,36,30,
57,5,44771,VN49,VNT0,Recorded on SAP,8150300024,600003913,0327-1418,1,,1,15,15,
57,6,44771,VN49,VNT0,Recorded on SAP,8150300024,600000793,3050692,1,,1,13,12,
57,7,44771,VN49,VNT0,Recorded on SAP,8150300024,600071892,A044F796,1,,1.62,35.1,21.3,
57,8,44771,VN49,VNT0,Recorded on SAP,8150300024,600007464,4921499,1,,0.066,4,8,
57,9,44771,VN49,VNT0,Recorded on SAP,8150300024,600072153,3090942RX,1,,4.99,32,22,
57,10,44771,VN49,VNT0,Recorded on SAP,8150300024,600111660,3883463D,1,,1,1,1,
58,1,44778,VN49,VNT0,Recorded on SAP,8150300453,600002176,4089998,1,,2.2,105,35,
58,2,44778,VN49,VNT0,Recorded on SAP,8150300453,600015301,FF5488,1,,0.6,9,9,
59,1,44789,VNT0,VN49,Recorded on SAP,8150301282,600002393,AF25278,2,,11.68,44,44,
59,2,44789,VNT0,VN49,Recorded on SAP,8150301282,600018205,4954905,1,,0.031,8.3,6,
60,1,44789,VNT0,VN49,Recorded on SAP,8150301312,600097374,4995445,1,,2,30,25,
61,1,44789,VNT0,VN49,In Progress,,600002393,AF25278,2,,11.68,44,44,
62,1,44789,VN49,VNT0,Recorded on SAP,8150301329,600003083,LF9018,96,,189.6,11.5,11.5,
62,2,44789,VN49,VNT0,Recorded on SAP,8150301428,600003083,LF9018,108,,213.3,11.5,11.5,
63,1,44778,VN49,VNT0,Recorded on SAP,8150301380,600096066,4376430,6,,45,18,18,
63,2,44778,VN49,VNT0,Recorded on SAP,8150301380,600096067,5405717,6,,0.9,17,17,
63,3,44778,VN49,VNT0,Recorded on SAP,8150301380,600003083,LF9018,1,,1.975,11.5,11.5,
63,4,44778,VN49,VNT0,Recorded on SAP,8150301380,600029974,CC2638,4,,17.228,16.51,16.26,
63,5,44778,VN49,VNT0,Recorded on SAP,8150301380,600001567,3803703,2,,11.4,18,18,
63,6,44778,VN49,VNT0,Recorded on SAP,8150301380,600002176,4089998,1,,2.2,105,35,
63,7,44778,VN49,VNT0,Recorded on SAP,8150301380,600067304,4089865,6,,30,17,17,
63,8,44778,VN49,VNT0,Recorded on SAP,8150301380,600001423,3800969,1,,0.884,27,6,
63,9,44778,VN49,VNT0,Recorded on SAP,8150301380,600001678,3895860,36,,6.12,10,3,
63,10,44778,VN49,VNT0,Recorded on SAP,8150301380,600000944,3080708,18,,0.54,9,9,
63,11,44778,VN49,VNT0,Recorded on SAP,8150301380,600068575,4903472PX,6,,9.96,26,13,
63,12,44778,VN49,VNT0,Recorded on SAP,8150301380,600001567,3803703,6,,34.2,18,18,
63,13,44778,VN49,VNT0,Recorded on SAP,8150301380,600052302,2878168,7,,0.791,9,9,
63,14,44778,VN49,VNT0,Recorded on SAP,8150301380,600010565,4955239,6,,1.332,4.4,4.4,
63,15,44778,VN49,VNT0,Recorded on SAP,8150301380,600010565,4955239,18,,3.996,4.4,4.4,
63,16,44778,VN49,VNT0,Recorded on SAP,8150301380,600001405,3800637,24,,5.28,4,4,
63,17,44778,VN49,VNT0,Recorded on SAP,8150301380,600002070,4003966,24,,0.06,2,2,
63,18,44778,VN49,VNT0,Recorded on SAP,8150301380,600073104,3090704,12,,0.276,6,4,
63,19,44778,VN49,VNT0,Recorded on SAP,8150301380,600073104,3090704,12,,0.276,6,4,
63,20,44778,VN49,VNT0,Recorded on SAP,8150301380,600018168,2864080,1,,0.52,109,44,
64,1,44778,VN49,VNT0,Recorded on SAP,8150301445,600015760,FF5421,2,,1.478,6.58,15,
64,2,44778,VN49,VNT0,Recorded on SAP,8150301445,600084929,FS53014MX,6,,11.478,14.8,14.8,
64,3,44778,VN49,VNT0,Recorded on SAP,8150301445,600021075,HF28813,20,,4.8,6,6,
64,4,44778,VN49,VNT0,Recorded on SAP,8150301445,600009310,FS20000,30,,28.95,17.899,13.983,
65,1,44792,VNT0,VN49,Recorded on SAP,8150301641,600074894,4903523,1,,0.35,21,12,
65,2,44792,VNT0,VN49,Recorded on SAP,8150301641,600074160,4921517,1,,0.08,4,8,
66,1,44795,VN49,VNT0,Recorded on SAP,8150301664,600087232,AF26339,1,,1.95,24,24,
66,2,44795,VN49,VNT0,Recorded on SAP,8150301664,600091599,AF55815,18,,5.58,29,17,
66,3,44795,VN49,VNT0,Recorded on SAP,8150301664,600018213,FF5612,12,,8.112,6.96,15.79,
66,4,44795,VN49,VNT0,Recorded on SAP,8150301664,600002730,FS1003,6,,5.394,9.4,9.4,
66,5,44795,VN49,VNT0,Recorded on SAP,8150301664,600002731,FS1006,120,,177,12.5,12.5,
66,6,44795,VN49,VNT0,Recorded on SAP,8150301664,600002774,FS19605,12,,16.44,9,9,
66,7,44795,VN49,VNT0,Recorded on SAP,8150301664,600017490,FS19732,12,,9.24,18,18,
66,8,44795,VN49,VNT0,Recorded on SAP,8150301664,600045398,FS19841,8,,11.392,12.166,12.249,
66,9,44795,VN49,VNT0,Recorded on SAP,8150301664,600027410,FS19946,120,,939.6,13,13,
66,10,44795,VN49,VNT0,Recorded on SAP,8150301664,600021075,HF28813,15,,3.6,6,6,
66,11,44795,VN49,VNT0,Recorded on SAP,8150301664,600002795,HF28910,50,,178.025,18.5,18.5,
66,12,44795,VN49,VNT0,Recorded on SAP,8150301664,600002813,HF35255,30,,18.3,12.12,12.46,
66,13,44795,VN49,VNT0,Recorded on SAP,8150301664,600002819,HF6097,6,,21.96,10,10,
66,14,44795,VN49,VNT0,Recorded on SAP,8150301664,600002836,HF6202,6,,5.622,13.92,14.05,
66,15,44795,VN49,VNT0,Recorded on SAP,8150301664,600002863,HF6376,6,,4.896,13.5,13.5,
66,16,44795,VN49,VNT0,Recorded on SAP,8150301664,600002893,HF7553,12,,8.4,9.6,9.6,
66,17,44795,VN49,VNT0,Recorded on SAP,8150301664,600002899,HF7935,18,,23.976,4.87,7.3,
66,18,44795,VN49,VNT0,Recorded on SAP,8150301664,600002909,LF3000,48,,74.88,12.08,12.17,
66,19,44795,VN49,VNT0,Recorded on SAP,8150301664,600002930,LF3349,12,,7.128,6.58,15,
66,20,44795,VN49,VNT0,Recorded on SAP,8150301664,600003018,LF3806,12,,6.096,6.96,15.79,
66,21,44795,VN49,VNT0,Recorded on SAP,8150301664,600003032,LF3959,12,,7.128,6.96,15.79,
66,22,44795,VN49,VNT0,Recorded on SAP,8150301664,600003033,LF3970,12,,7.128,9.5,9.5,
66,23,44795,VN49,VNT0,Recorded on SAP,8150301664,600003062,LF691A,12,,22.92,14.02,14.21,
66,24,44795,VN49,VNT0,Recorded on SAP,8150301664,600031546,LF9070,48,,96,12,12,
67,1,44796,VN49,VNT0,Recorded on SAP,8150301773,600012362,0300-5467,1,,0.08,15,4,
67,2,44796,VN49,VNT0,Recorded on SAP,8150301773,600077944,2882144,1,,5.2,1,1,
67,3,44796,VN49,VNT0,Recorded on SAP,8150301773,600000629,3016760,12,,1.32,9,4,
67,4,44796,VN49,VNT0,Recorded on SAP,8150301773,600073104,3090704,12,,0.276,6,4,
67,5,44796,VN49,VNT0,Recorded on SAP,8150301773,600001405,3800637,4,,0.88,4,4,
67,6,44796,VN49,VNT0,Recorded on SAP,8150301773,600001423,3800969,1,,0.884,27,6,
67,7,44796,VN49,VNT0,Recorded on SAP,8150301773,600001567,3803703,4,,22.8,18,18,
67,8,44796,VN49,VNT0,Recorded on SAP,8150301773,600002069,4003950,1,,3.87,14,14,
67,9,44796,VN49,VNT0,Recorded on SAP,8150301773,600002070,4003966,24,,0.06,2,2,
67,10,44796,VN49,VNT0,Recorded on SAP,8150301773,600002098,4025120,1,,3.21,26,11,
67,11,44796,VN49,VNT0,Recorded on SAP,8150301773,600002156,4089478,1,,2.412,100,38,
67,12,44796,VN49,VNT0,Recorded on SAP,8150301773,600067304,4089865,2,,10,17,17,
67,13,44796,VN49,VNT0,Recorded on SAP,8150301773,600002176,4089998,2,,4.4,105,35,
67,14,44796,VN49,VNT0,Recorded on SAP,8150301773,600079107,4319020,1,,0.571,24.8,5.1,
67,15,44796,VN49,VNT0,Recorded on SAP,8150301773,600010565,4955239,4,,0.888,4.4,4.4,
67,16,44796,VN49,VNT0,Recorded on SAP,8150301773,600074288,4955697,2,,22,20,20,
67,17,44796,VN49,VNT0,Recorded on SAP,8150301773,600002065,4000590,1,,12.242,26,22.9,
67,18,44796,VN49,VNT0,Recorded on SAP,8150301773,600111446,3089298,1,,4,11,18,
67,19,44796,VN49,VNT0,Recorded on SAP,8150301773,600093889,3177040,1,,0.15,3.5,3.5,
67,20,44796,VN49,VNT0,Recorded on SAP,8150301773,600000793,3050692,20,,20,13,12,
68,1,44798,VN49,VNT0,Recorded on SAP,8150301853,600102032,A054J968,1,,2.5,36,23,
69,1,44798,VN49,VNT0,Recorded on SAP,8150301980,600001583,3803977,6,,0.738,16,16,
69,2,44798,VN49,VNT0,Recorded on SAP,8150301980,600020840,4920076,56,,0.84,25,18,
69,3,44798,VN49,VNT0,Recorded on SAP,8150301980,600096067,5405717,24,,3.6,17,17,
69,4,44798,VN49,VNT0,Recorded on SAP,8150301980,600029974,CC2638,6,,25.842,16.51,16.26,
69,5,44798,VN49,VNT0,Recorded on SAP,8150301980,600002748,FS1251,6,,2.55,8,8,
69,6,44798,VN49,VNT0,Recorded on SAP,8150301980,600002750,FS1280,2,,1.16,17,9.5,
69,7,44798,VN49,VNT0,Recorded on SAP,8150301980,600004440,4965569,10,,6.1,24.8,5.1,
69,9,44798,VN49,VNT0,Recorded on SAP,8150301980,600109225,5473331,5,,0.65,10,7,
69,10,44798,VN49,VNT0,Recorded on SAP,8150301980,600002669,FF5052,1,,0.41,8,8,
69,11,44798,VN49,VNT0,Recorded on SAP,8150301980,600001925,3927154,5,,0.0325,11,5,
69,12,44798,VN49,VNT0,Recorded on SAP,8150301980,600001779,3906659,10,,0.1,2,2,
70,1,44798,VN49,VNT0,Recorded on SAP,8150302215,600003083,LF9018,150,,296.25,11.5,11.5,
71,1,44798,VN49,VNT0,Recorded on SAP,8150302229,600001925,3927154,1,,0.0065,11,5,
71,2,44798,VN49,VNT0,Recorded on SAP,8150302229,600086303,5269779,48,,0.984,10,10,
71,3,44798,VN49,VNT0,Recorded on SAP,8150302229,600097890,5579030,2,,3.2,89,26,
72,1,44812,VNT0,VN49,Recorded on SAP,8150302796,600001894,3921926,2,,0.11,22,18,
72,2,44812,VNT0,VN49,Recorded on SAP,8150302796,600081283,4309175,1,,2.58,25,34,
72,3,44812,VNT0,VN49,Recorded on SAP,8150302796,600012362,0300-5467,2,,0.16,15,4,
73,1,44809,VN49,VNT0,Recorded on SAP,8150302389,600003083,LF9018,534,,1054.65,11.5,11.5,
74,1,44809,VN49,VNT0,Recorded on SAP,8150302405,600002393,AF25278,3,,17.52,44,44,
74,2,44809,VN49,VNT0,Recorded on SAP,8150302405,600003099,WF2076,30,,19.5,9.5,9.5,
74,4,44809,VN49,VNT0,Recorded on SAP,8150302405,600002606,AH19037,1,,2.051,27.432,27.813,
74,5,44809,VN49,VNT0,Recorded on SAP,8150302405,600002641,FF202,18,,23.346,12.08,12.17,
74,6,44809,VN49,VNT0,Recorded on SAP,8150302405,600017490,FS19732,6,,4.62,18,18,
74,7,44809,VN49,VNT0,Recorded on SAP,8150302405,600002393,AF25278,2,,11.68,44,44,
74,8,44809,VN49,VNT0,Recorded on SAP,8150302405,600084929,FS53014MX,36,,68.868,14.8,14.8,
74,9,44809,VN49,VNT0,Recorded on SAP,8150302405,600002393,AF25278,4,,23.36,44,44,
74,10,44809,VN49,VNT0,Recorded on SAP,8150302405,600002731,FS1006,60,,88.5,12.5,12.5,
74,11,44809,VN49,VNT0,Recorded on SAP,8150302405,600002627,DCA65L,360,,822.6,12,12,
74,12,44809,VN49,VNT0,Recorded on SAP,8150302405,600074824,CC2869,16,,360.64,28,28,
75,1,44809,VN49,VNT0,Recorded on SAP,8150302401,600003083,LF9018,1512,,2986.2,11.5,11.5,
76,1,44809,VN49,VNT0,Recorded on SAP,8150302790,600001683,3897337,1,,0.7,11,11,
76,2,44809,VN49,VNT0,Recorded on SAP,8150302790,600021033,0300-6315-02,2,,2.74,38,29,
76,3,44809,VN49,VNT0,Recorded on SAP,8150302790,600001858,3918174,5,,0.18,30,14,
76,4,44809,VN49,VNT0,Recorded on SAP,8150302790,600015186,3929011,1,,0.118,33,22,
76,5,44809,VN49,VNT0,Recorded on SAP,8150302790,600079991,0300-5685-01,1,,0.263,34,45,
76,6,44809,VN49,VNT0,Recorded on SAP,8150302790,600000562,0300-5180,1,,0.43,25,20,
76,7,44809,VN49,VNT0,Recorded on SAP,8150302790,600002384,AF25129M,15,,48,30,29,
76,8,44809,VN49,VNT0,Recorded on SAP,8150302790,600002385,AF25130M,15,,10.11,16.002,16.002,
76,9,44809,VN49,VNT0,Recorded on SAP,8150302790,600003081,LF9009,50,,78,12,12,
76,10,44809,VN49,VNT0,Recorded on SAP,8150302790,600014139,FF5580,20,,85,9,9,
76,11,44809,VN49,VNT0,Recorded on SAP,8150302790,600009310,FS20000,30,,28.95,17.899,13.983,
76,12,44809,VN49,VNT0,Recorded on SAP,8150302790,600029501,FS19596,40,,232.8,9.5,9.5,
76,13,44809,VN49,VNT0,Recorded on SAP,8150302790,600003097,WF2074,40,,24.08,6.96,15.79,
76,14,44809,VN49,VNT0,Recorded on SAP,8150302790,600083278,875714,60,,#N/A,#N/A,#N/A,
76,15,44809,VN49,VNT0,Recorded on SAP,8150302790,600029974,CC2638,8,,34.456,16.51,16.26,
76,16,44809,VN49,VNT0,Recorded on SAP,8150302790,600074824,CC2869,30,,676.2,28,28,
77,1,44816,VN49,VNT0,Recorded on SAP,8150302990,600095160,3931713,1,,15,15,58,
78,1,44818,VN49,VNT0,Recorded on SAP,8150303726,600002566,AF872,15,,97.5,43,43,
78,2,44818,VN49,VNT0,Recorded on SAP,8150303726,600002587,AH1100,3,,13.29,45.877,38.892,
78,3,44818,VN49,VNT0,Recorded on SAP,8150303726,600002605,AH19003,6,,9.51,22.86,22.86,
78,4,44818,VN49,VNT0,Recorded on SAP,8150303726,600029501,FS19596,6,,34.92,9.5,9.5,
78,5,44818,VN49,VNT0,Recorded on SAP,8150303726,600002429,AF25593,20,,114.6,43,43,
78,6,44818,VN49,VNT0,Recorded on SAP,8150303726,600002918,LF3325,84,,142.8,12,12,
78,7,44818,VN49,VNT0,Recorded on SAP,8150303726,600020051,LF9050,78,,209.04,14,14,
78,8,44818,VN49,VNT0,Recorded on SAP,8150303726,600003081,LF9009,10,,15.6,12,12,
78,9,44818,VN49,VNT0,Recorded on SAP,8150303726,600002740,FS1216,6,,8.25,32,12,
78,10,44818,VN49,VNT0,Recorded on SAP,8150303726,600002731,FS1006,150,,221.25,12.5,12.5,
78,11,44818,VN49,VNT0,Recorded on SAP,8150303726,600009310,FS20000,6,,5.79,17.899,13.983,
78,12,44818,VN49,VNT0,Recorded on SAP,8150303726,600002384,AF25129M,2,,6.4,30,29,
78,13,44818,VN49,VNT0,Recorded on SAP,8150303726,600002515,AF4674,3,,17.418,33.02,33.02,
78,14,44818,VN49,VNT0,Recorded on SAP,8150303726,600002393,AF25278,2,,11.68,44,44,
78,15,44818,VN49,VNT0,Recorded on SAP,8150303726,600002733,FS1009,12,,8.724,9,9,
78,16,44818,VN49,VNT0,Recorded on SAP,8150303726,600014139,FF5580,4,,17,9,9,
78,17,44818,VN49,VNT0,Recorded on SAP,8150303726,600002853,HF6319,52,,123.76,16.667,16.667,
78,18,44818,VN49,VNT0,Recorded on SAP,8150303726,600002735,FS1040,36,,301.32,12,12,
78,19,44818,VN49,VNT0,Recorded on SAP,8150303726,600002433,AF25627,20,,80,35,35,
78,20,44818,VN49,VNT0,Recorded on SAP,8150303726,600081260,LF14000NN,24,,40.8,11.5,11.5,
78,21,44818,VN49,VNT0,Recorded on SAP,8150303726,600002729,FS1000,48,,35.04,6.92,15.68,
78,22,44818,VN49,VNT0,Recorded on SAP,8150303726,600002433,AF25627,10,,40,35,35,
78,23,44818,VN49,VNT0,Recorded on SAP,8150303726,600002813,HF35255,30,,18.3,12.12,12.46,
78,24,44818,VN49,VNT0,Recorded on SAP,8150303726,600003586,HF28894,12,,11.16,9.5,9.5,
79,1,44818,VN49,VNT0,Recorded on SAP,8150303378,600003098,WF2075,50,,29.5,6.96,15.79,
79,2,44818,VN49,VNT0,Recorded on SAP,8150303378,600000584,3008400,2,,0.02,18,12,
79,3,44818,VN49,VNT0,Recorded on SAP,8150303378,600002579,AF928M,1,,2.94,37,37,
80,1,44818,VN49,VNT0,Recorded on SAP,8150303315,600110909,FS20019,6,,2.04,10,10,
81,1,44826,VN49,VNT0,Recorded on SAP,8150304000,600021075,HF28813,60,,14.4,6,6,
82,1,44830,VN49,VNT0,Recorded on SAP,8150304194,600002156,4089478,2,,4.824,100,38,
82,2,44830,VN49,VNT0,Recorded on SAP,8150304194,600067304,4089865,5,,25,17,17,
82,3,44830,VN49,VNT0,Recorded on SAP,8150304194,600015138,3938152,1,,0.09,53,21,
82,4,44830,VN49,VNT0,Recorded on SAP,8150304194,600001519,3802818,2,,0.86,3,3,
82,5,44830,VN49,VNT0,Recorded on SAP,8150304194,600001799,3909356,6,,0.006,2,2,
82,6,44830,VN49,VNT0,Recorded on SAP,8150304194,600004321,4932124,1,,0.064,35,21,
82,7,44830,VN49,VNT0,Recorded on SAP,8150304194,600072756,5269379,1,,0.18,6,6,
82,8,44830,VN49,VNT0,Recorded on SAP,8150304194,600109225,5473331,8,,1.04,10,7,
82,9,44830,VN49,VNT0,Recorded on SAP,8150304194,600071603,4996707,1,,8,45,30,
82,10,44830,VN49,VNT0,Recorded on SAP,8150304194,600095869,5367768,2,,32,46,33,
82,11,44830,VN49,VNT0,Recorded on SAP,8150304194,600095459,3963736,12,,0.72,4,3,
82,12,44830,VN49,VNT0,Recorded on SAP,8150304194,600095480,3968886,6,,0.636,10,10,
82,13,44830,VN49,VNT0,Recorded on SAP,8150304194,600003719,0300-4608-02,1,,2.432,53.6,30.7,
83,1,44834,VNT0,VN49,Recorded on SAP,8150304518,600067304,4089865,5,,25,17,17,
83,2,44834,VNT0,VN49,Recorded on SAP,8150304518,600089077,A048L394,1,,0.1,3,15,
84,1,44827,VN49,VNT0,Recorded on SAP,8150304117,600001498,3802421,20,,1.7,12.7,2.5,
84,2,44827,VN49,VNT0,Recorded on SAP,8150304117,#N/A,4891178,12,,#N/A,#N/A,#N/A,
84,3,44827,VN49,VNT0,Recorded on SAP,8150304117,600001520,3802820,4,,0.412,9,6,
84,4,44827,VN49,VNT0,Recorded on SAP,8150304117,#N/A,3926126,1,,#N/A,#N/A,#N/A,
84,5,44827,VN49,VNT0,Recorded on SAP,8150304117,600030227,4942278,16,,1.6,2,2,
84,6,44827,VN49,VNT0,Recorded on SAP,8150304117,600002669,FF5052,3,,1.23,8,8,
84,7,44827,VN49,VNT0,Recorded on SAP,8150304117,#N/A,3906854,4,,#N/A,#N/A,#N/A,
84,8,44827,VN49,VNT0,Recorded on SAP,8150304117,600001725,3904105,4,,0.096,15,10,
84,9,44827,VN49,VNT0,Recorded on SAP,8150304117,#N/A,3921926,2,,#N/A,#N/A,#N/A,
84,10,44827,VN49,VNT0,Recorded on SAP,8150304117,600030227,4942278,12,,1.2,2,2,
85,1,44838,VN49,VNT0,Recorded on SAP,8150305062,600027115,0300-6090,1,,0.42,19,17,
85,2,44838,VN49,VNT0,Recorded on SAP,8150305062,600072756,5269379,1,,0.18,6,6,
85,3,44838,VN49,VNT0,Recorded on SAP,8150305062,600009986,0193-0432,1,,0.09,14,4,
85,4,44838,VN49,VNT0,Recorded on SAP,8150305062,600010758,AF26173,1,,3.3,35,35,
85,5,44838,VN49,VNT0,Recorded on SAP,8150305062,600001830,3913628,1,,0.083,6,6,
85,6,44838,VN49,VNT0,Recorded on SAP,8150305062,600018205,4954905,2,,0.062,8.3,6,
86,1,44840,VNT0,VN49,Recorded on SAP,8150305006,600002438,AF25708M,10,,32.2,30.99,30.23,
87,1,44845,VN49,VNT0,Recorded on SAP,8150305304,600015760,FF5421,2,,1.478,6.58,15,
87,2,44845,VN49,VNT0,Recorded on SAP,8150305304,600095459,3963736,6,,0.36,4,3,
87,3,44845,VN49,VNT0,Recorded on SAP,8150305304,600001567,3803703,2,,11.4,18,18,
88,1,44851,VN49,VNT0,Recorded on SAP,8150305729,600000662,3021420,2,,1.4,6,6,
88,2,44851,VN49,VNT0,Recorded on SAP,8150305729,600053590,5282841,2,,20,32,32,
88,3,44851,VN49,VNT0,Recorded on SAP,8150305729,600002748,FS1251,2,,0.85,8,8,
88,4,44851,VN49,VNT0,Recorded on SAP,8150305729,600002176,4089998,1,,2.2,105,35,
89,1,44852,VNT0,VN49,Recorded on SAP,8150305737,600085241,880966,150,,#N/A,#N/A,#N/A,
90,1,44852,VN49,VNT0,Recorded on SAP,8150305890,600020476,4955853,1,,1.04,27,19,
90,2,44852,VN49,VNT0,Recorded on SAP,8150305890,600018234,4089460,6,,0.522,11,11,
90,3,44852,VN49,VNT0,Recorded on SAP,8150305890,600002166,4089649,1,,1.5,80,33,
90,4,44852,VN49,VNT0,Recorded on SAP,8150305890,600001492,3802376,1,,1.39,60,42,
91,1,44854,VNT0,VN49,Recorded on SAP,8150306109,600002438,AF25708M,6,,,30.99,30.23,
92,1,44859,VNT0,VN49,Recorded on SAP,8150306403,600010416,FS19709,1,,0.272,5.688,12.937,
92,2,44859,VNT0,VN49,Recorded on SAP,8150306403,600018213,FF5612,8,,5.408,6.96,15.79,
92,3,44859,VNT0,VN49,Recorded on SAP,8150306403,600104275,135144,8,,0.64,10,2,
93,1,44866,VN49,VNT0,Recorded on SAP,8150306912,600000447,206948,4,,0.02,1,1,
93,2,44866,VN49,VNT0,Recorded on SAP,8150306912,600085740,4955707,4,,49.88,36,37,
93,3,44866,VN49,VNT0,Recorded on SAP,8150306912,600001468,3802100,12,,12,13,13,
93,4,44866,VN49,VNT0,Recorded on SAP,8150306912,600001791,3908220,1,,0.112,12,8,
93,5,44866,VN49,VNT0,Recorded on SAP,8150306912,600001956,3934048,12,,7.32,11,6,
93,6,44866,VN49,VNT0,Recorded on SAP,8150306912,600010660,3047549RX,3,,30,17,17,
93,7,44866,VN49,VNT0,Recorded on SAP,8150306912,600079107,4319020,2,,1.142,24.8,5.1,
93,8,44866,VN49,VNT0,Recorded on SAP,8150306912,600030227,4942278,25,,2.5,2,2,
93,9,44866,VN49,VNT0,Recorded on SAP,8150306912,600104901,5339495,1,,0.204,30,12,
93,10,44866,VN49,VNT0,Recorded on SAP,8150306912,600112351,3802520,4,,0.616,8,4,
93,11,44866,VN49,VNT0,Recorded on SAP,8150306912,600001799,3909356,6,,0.006,2,2,
93,12,44866,VN49,VNT0,Recorded on SAP,8150306912,600001692,3900808,12,,0.024,2,2,
93,13,44866,VN49,VNT0,Recorded on SAP,8150306912,600001893,3921640,12,,0.06,2,2,
93,14,44866,VN49,VNT0,Recorded on SAP,8150306912,600001894,3921926,12,,0.66,22,18,
93,15,44866,VN49,VNT0,Recorded on SAP,8150306912,600026945,0309-0641-03,1,,0.068,6,6,
93,16,44866,VN49,VNT0,Recorded on SAP,8150306912,600094077,3921961,5,,0.09,14,14,
93,17,44866,VN49,VNT0,Recorded on SAP,8150306912,600015136,3920867,4,,0.568,16,5,
93,18,44866,VN49,VNT0,Recorded on SAP,8150306912,600032736,3920868,4,,0.576,17,5,
93,19,44866,VN49,VNT0,Recorded on SAP,8150306912,600053590,5282841,1,,10,32,32,
93,20,44866,VN49,VNT0,Recorded on SAP,8150306912,600110820,5693705,1,,1.3,26,19,
93,21,44866,VN49,VNT0,Recorded on SAP,8150306912,600000380,187160,3,,0.084,1,1,
93,22,44866,VN49,VNT0,Recorded on SAP,8150306912,600000935,3077198,20,,2,62,23,
93,23,44866,VN49,VNT0,Recorded on SAP,8150306912,600000722,3034855,1,,0.3,12,11,
93,24,44866,VN49,VNT0,Recorded on SAP,8150306912,600010664,4025310,2,,20.68,33,23,
93,25,44866,VN49,VNT0,Recorded on SAP,8150306912,600092635,3098353,4,,20,20,25,
93,26,44866,VN49,VNT0,Recorded on SAP,8150306912,600001583,3803977,18,,2.214,16,16,
93,27,44866,VN49,VNT0,Recorded on SAP,8150306912,600002604,AH19002,5,,8.14,23.792,23.792,
93,28,44866,VN49,VNT0,Recorded on SAP,8150306912,600001726,3904166,15,,15,13,13,
93,29,44866,VN49,VNT0,Recorded on SAP,8150306912,600093796,5473238,3,,7.89,19,16,
93,30,44866,VN49,VNT0,Recorded on SAP,8150306912,600001489,3802355,12,,1.68,5,5,
93,31,44866,VN49,VNT0,Recorded on SAP,8150306912,600001490,3802356,12,,1.8,17,5,
93,32,44866,VN49,VNT0,Recorded on SAP,8150306912,600002605,AH19003,3,,4.755,22.86,22.86,
93,33,44866,VN49,VNT0,Recorded on SAP,8150306912,600010766,4939587,3,,6.519,16,8,
93,34,44866,VN49,VNT0,Recorded on SAP,8150306912,600000939,3077716,12,,0.6,2,2,
93,35,44866,VN49,VNT0,Recorded on SAP,8150306912,600003951,3087587,24,,28.8,23,9,
93,36,44866,VN49,VNT0,Recorded on SAP,8150306912,600075383,4352578,4,,12.16,87.5,24.5,
93,37,44866,VN49,VNT0,Recorded on SAP,8150306912,600000873,3066882,2,,66.666,128,14,
93,38,44866,VN49,VNT0,Recorded on SAP,8150306912,600002156,4089478,3,,7.236,100,38,
93,39,44866,VN49,VNT0,Recorded on SAP,8150306912,600002176,4089998,2,,4.4,105,35,
93,40,44866,VN49,VNT0,Recorded on SAP,8150306912,600002748,FS1251,1,,0.425,8,8,
93,41,44866,VN49,VNT0,Recorded on SAP,8150306912,600001821,3912019,1,,4.01,23,18,
94,1,44872,VNT0,VN49,Recorded on SAP,8150307440,600002926,LF3345,2,,1.08,6.91,15.79,
95,1,44873,VN49,VNT0,Recorded on SAP,8150307570,600002220,68241,50,,6.75,8,2,
95,2,44873,VN49,VNT0,Recorded on SAP,8150307570,600000905,3071085,6,,0.21,4,4,
95,3,44873,VN49,VNT0,Recorded on SAP,8150307570,600000447,206948,4,,0.02,1,1,
95,4,44873,VN49,VNT0,Recorded on SAP,8150307570,600108910,3056476,2,,0.82,13,7,
95,5,44873,VN49,VNT0,Recorded on SAP,8150307570,600001830,3913628,1,,0.083,6,6,
