Material,Material Description,Material type,Plant,Storage location,Material Group,DF stor. loc. level,Base Unit of Measure,Unrestricted,Currency,Value Unrestricted,Transit and Transfer,Val. in Trans./Tfr,Quality Inspection,Value in QualInsp.,Restricted-Use Stock,Value Restricted,Blocked,Value BlockedStock,Returns,Value Rets Blocked
600000465,"213272-Pick up, Magnetic",ZSP,VN49,1100,7063,,PC,1,VND,"4,217,151",0,0,0,0,0,0,0,0,0,0
600000505,"3002834-Bushing, camshaft",ZSP,VN49,1100,7063,,PC,15,VND,"3,624,878",0,0,0,0,0,0,0,0,0,0
600000519,3003354-Bearing Roller,ZSP,VN49,1100,7063,,PC,1,VND,"1,332,544",0,0,0,0,0,0,0,0,0,0
600000525,300-4079-Board Control,ZSP,VNT0,1100,7063,,PC,1,VND,"55,630,386",0,0,0,0,0,0,0,0,0,0
600000527,300-4080-01-Board Analog,ZSP,VNT0,1100,7063,,PC,1,VND,"17,606,275",0,0,0,0,0,0,0,0,0,0
600000534,300-4306-Regulator-auto volt,ZSP,VN49,1100,7063,,PC,1,VND,"10,526,283",0,0,0,0,0,0,0,0,0,0
600000534,300-4306-Regulator-auto volt,ZSP,VN49,1100,7063,,PC,2,VND,"21,052,565",0,0,0,0,0,0,0,0,0,0
600000555,300-4725-CONTROL GORVERNER,ZSP,VN49,1100,7063,,PC,1,VND,"39,354,493",0,0,0,0,0,0,0,0,0,0
600000559,300-4970-PCB Genset PT Fuel,ZSP,VN49,1100,7063,,PC,1,VND,"38,947,586",0,0,0,0,0,0,0,0,0,0
600000571,"3005963-Cup, injector cone",ZSP,VN49,1100,7063,,PC,240,VND,"173,769,606",0,0,0,0,0,0,0,0,0,0
600000571,"3005963-Cup, injector cone",ZSP,VN49,1100,7063,,PC,41,VND,"29,685,641",0,0,0,0,0,0,0,0,0,0
600000571,"3005963-Cup, injector cone",ZSP,VN49,1100,7063,,PC,1,VND,"724,040",0,0,0,0,0,0,0,0,0,0
600000571,"3005963-Cup, injector cone",ZSP,VN49,1100,7063,,PC,120,VND,"86,884,803",0,0,0,0,0,0,0,0,0,0
600000571,"3005963-Cup, injector cone",ZSP,VN49,1100,7063,,PC,120,VND,"86,884,803",0,0,0,0,0,0,0,0,0,0
600000571,"3005963-Cup, injector cone",ZSP,VN49,1100,7063,,PC,120,VND,"86,884,803",0,0,0,0,0,0,0,0,0,0
600000571,"3005963-Cup, injector cone",ZSP,VN49,1100,7063,,PC,102,VND,"73,852,083",0,0,0,0,0,0,0,0,0,0
600000573,"3006456-Guide, valve stem",ZSP,VN49,1100,7063,,PC,43,VND,"3,217,328",0,0,0,0,0,0,0,0,0,0
600000578,"3007517-Nozzle, piston coolin",ZSP,VN49,1100,7063,,PC,3,VND,"1,012,010",0,0,0,0,0,0,0,0,0,0
600000579,"3007525-Kit, liner KV",ZSP,VN49,1100,7063,,PC,202,VND,"479,665,884",0,0,0,0,0,0,0,0,0,0
600000579,"3007525-Kit, liner KV",ZSP,VN49,1100,7063,,PC,12,VND,"28,495,003",0,0,0,0,0,0,0,0,0,0
600000584,3008400-Gasket Lube oil Pump,ZSP,VN49,1100,7063,,PC,1,VND,"287,967",0,0,0,0,0,0,0,0,0,0
600000584,3008400-Gasket Lube oil Pump,ZSP,VNT0,1100,7063,,PC,1,VND,"292,659",0,0,0,0,0,0,0,0,0,0
600000593,"3010242-Set, fuel pump gasket",ZSP,VN49,1100,7063,,PC,1,VND,"576,186",0,0,0,0,0,0,0,0,0,0
